ID;Ika;Sukup;Alue;Q41;Q42;Q53;Q43;Q44;Q45;Q46;Q47;Q54;Q48;Q49;Q50;Q51;Q52;Q55;Talous;Tulot
151;6;1;4;1;1; ;2008;11;4;1;1; ;2000;13;4;1;1; ;2;1
152;6;1;3;1;1; ;2003;13;5;1;1; ;9999;13;5;1;1; ;2;1
153;4;2;4;1;1; ;2011;13;5;2;1; ;9999;13;5;1;1; ;2;2
154;5;1;4;1;1; ;2012;6;2;1;1; ;2010;13;2;1;7; ;2;2
155;3;2;2;1;3; ;2012;9;4;3;1; ;2010;8;3;2;3; ;4;2
156;6;2;3;1;1; ;2009;6;3;2;6;Philips Fitz?;2001;13;5;1;7; ;1;1
157;6;1;4;1;1; ;2009;13;5;1;1; ;2002;13;5;1;1; ;2;1
158;6;1;2;1;1; ;2010;13;1;2;1; ;2007;13;5;1;1; ;2;3
160;6;2;3;1;1; ;2010;6;3;1;1; ;2002;13;5;1;1; ;2;4
162;2;1;3;1;1; ;2012;8;2;3;1; ;2011;1;1;3;1; ;2;3
163;4;1;1;1;1; ;2010;10;4;1;1; ;2007;6;3;1;1; ;1;2
165;4;1;4;1;1; ;2011;10;4;3;2; ;2011;9;4;3;2; ;5;4
166;2;1;2;1;1; ;2012;5;2;3;1; ;2010;13;5;3;7; ;1;2
167;6;2;1;1;1; ;2006;7;3;2;5; ;1997;6;3;1;1; ;1;1
169;3;1;4;1;1; ;2012;4;2;3;3; ;2010;6;3;2;1; ;2;1
170;1;2;2;1;1; ;2012;13;5;2;1; ;9999;12;1;2;1; ;4;5
171;6;1;3;1;1; ;2012;13;3;3;1; ;9999;13;5;1;1; ;3;1
172;2;2;2;1;1; ;2010;13;5;2;3; ;9999;13;5;1;3; ;3;5
173;1;2;1;1;3; ;2011;11;1;3;1; ;2009;12;1;2;3; ;4;3
174;5;1;4;1;1; ;2007;13;5;1;1; ;2005;13;5;1;1; ;2;3
175;5;1;4;1;1; ;2011;7;3;3;1; ;2006;9;4;1;1; ;1;1
176;5;1;3;1;1; ;2010;12;1;2;1; ;9999;13;5;1;1; ;2;2
177;4;1;3;1;1; ;2010;13;3;1;1; ;2004;13;2;1;7; ;1;2
178;3;2;3;1;3; ;2013;1;1;3;3; ;2009;13;5;1;3; ;5;3
179;4;1;2;1;1; ;2011;2;1;1;1; ;2009;13;3;1;1; ;1;1
180;3;2;3;1;1; ;2010;13;5;2;1; ;2005;13;5;1;1; ;4;2
181;3;2;1;1;1; ;2012;1;1;3;1; ;2007;13;2;1;1; ;3;2
182;5;1;2;1;1; ;2011;13;2;3;1; ;9999;13;5;2;7; ;2;1
183;2;1;1;1;1; ;2011;10;4;3;1; ;2009;13;5;2;7; ;1;3
